type,long_name,short_name
debut,Besame,besa
debut,Havana,hvna
debut
debut
second,Hot Stuff,hots
second
second
second
second
normal
normal
normal
normal
normal
normal
normal
public
public
public
public
public
teuf
teuf
teuf
teuf
teuf
bonus,Yeux d'Emilie,yeux
bonus,Aveyron Bayonnais,abay
bonus,Hava Nagila,hava
sous-meuble
